index,name,state,city,county,enrollment,mmr,overall,xmed,xrel,xper,lat,lng
1508,Park Orchard Elementary,Washington,Moses Lake,Grant,,,,,,,47.1336294,-119.2993569
1509,Parkview Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7709467,-122.4786568
1510,Pasadena Park Elementary,Washington,Spokane,Spokane,,,,,,,47.6972991,-117.2891331
1511,Pend Oreille River,Washington,Newport,Pend Oreille,,,,,,,48.1765145,-117.0604564
1512,Praise Christian Academy,Washington,Burien,King,,,,,,,47.467842,-122.3482464
1513,Queen Of Angels,Washington,Port Angeles,Clallam,,,,,,,48.111515,-123.4421811
1514,Rainier Christian Schools-Maple Valley Elementary,Washington,Renton,King,,,,,,,47.4527783,-122.1114307
1515,Red Rock Elementary,Washington,Royal City,Grant,,,,,,,46.9105036,-119.62414
1516,Residential Consortium,Washington,Seattle,King,,,,,,,47.6392178,-122.3698222
1517,Ridgecrest Elementary,Washington,Shoreline,King,,,,,,,47.74942,-122.31699
1518,Riverday,Washington,Spokane,Spokane,,,,,,,47.6621571,-117.3863116
1519,Riverview Elementary,Washington,Snohomish,Snohomish,,,,,,,47.937645,-122.132174
1520,Rock Creek Hutterite,Washington,Odessa,Lincoln,,,,,,,47.231767,-118.585402
1521,Roosevelt Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7682983,-122.4429004
1522,Saddle Mountain Elementary,Washington,Mattawa,Grant,,,,,,,46.741931,-119.9000094
1523,Saint Helens Elementary,Washington,Longview,Cowlitz,,,,,,,46.1284262,-122.9599069
1524,Salmonberry,Washington,Eastsound,San Juan,,,,,,,48.7011013,-122.9066277
1525,School Home Partnership Program,Washington,Marysville,Snohomish,,,,,,,48.0677247,-122.1733097
1526,Seabury,Washington,Tacoma,Pierce,,,,,,,47.3050395,-122.4231783
1527,Selah Covenant Christian,Washington,Selah,Yakima,,,,,,,46.671422,-120.536997
1528,Selah Homelink,Washington,Selah,Yakima,,,,,,,46.657174,-120.5319319
1529,Sequim Community School (Olympic Peninsula Academy),Washington,Sequim,Clallam,,,,,,,48.0830471,-123.1060066
1530,Serendipity Academy At The Lodge,Washington,Tumwater,Thurston,,,,,,,47.0107451,-122.9037811
1531,Shaw Island Elementary,Washington,Shaw Island,San Juan,,,,,,,48.5726433,-122.9616155
1532,Silver Beach Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7683915,-122.4163743
1533,Skamania Elementary,Washington,Skamania,Skamania,,,,,,,45.6174115,-122.0488344
1534,Skinner Elementary Montessori,Washington,Vancouver,Clark,,,,,,,45.65842,-122.603898
1535,Slavic Christian Academy-Vancouver,Washington,Vancouver,Clark,,,,,,,45.6192346,-122.5962239
1536,Snoqualmie Access,Washington,Snoqualmie,King,,,,,,,47.5287132,-121.8253906
1537,South Kitsap Christian,Washington,Port Orchard,Kitsap,,,,,,,47.5229218,-122.6295919
1538,South Whidbey Academy,Washington,Langley,Island,,,,,,,48.012886,-122.411807
1539,Southwest Washington Learning Center,Washington,Vancouver,Clark,,,,,,,45.6849705,-122.6613586
1540,Spanish With Sarah,Washington,Camas,Clark,,,,,,,45.595132,-122.407261
1541,Special Ed,Washington,Enumclaw,King,,,,,,,47.1882468,-122.0100336
1542,Special Ed,Washington,Kelso,Cowlitz,,,,,,,46.1474366,-122.9059068
1543,Special Education,Washington,Wenatchee,Chelan,,,,,,,47.4219901,-120.3353937
1544,Special Services,Washington,Clarkston,Asotin,,,,,,,46.4108781,-117.0576954
1545,Spectrum Academy,Washington,Redmond,King,,,,,,,47.6328612,-122.135786
1546,St. Benedict,Washington,Seattle,King,,,,,,,47.6639127,-122.336762
1547,St. Joseph,Washington,Vancouver,Clark,,,,,,,45.618255,-122.604612
1548,St. Matthew Lutheran,Washington,Spokane,Spokane,,,,,,,47.7214799,-117.4332218
1549,Stahlville,Washington,Odessa,Lincoln,,,,,,,47.1520893,-118.723328
1550,Starbuck,Washington,Starbuck,Columbia,,,,,,,46.5173105,-118.1209982
1551,Stehekin Elementary,Washington,Stehekin,Chelan,,,,,,,48.3416371,-120.7052522
1552,Stevens Elementary,Washington,Aberdeen,Grays Harbor,,,,,,,46.9666678,-123.7896887
1553,Stillwater Elementary,Washington,Carnation,King,,,,,,,47.7005267,-121.9096768
1554,Sulamita Christian,Washington,Mukilteo,Snohomish,,,,,,,47.8852158,-122.2867833
1555,Sunnyland Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7673798,-122.464355
1556,Tacoma Waldorf,Washington,Tacoma,Pierce,,,,,,,47.2431453,-122.4801879
1557,Taproot,Washington,Seattle,King,,,,,,,47.5219486,-122.3879091
1558,The Moose Project,Washington,Spokane,Spokane,,,,,,,47.6550296,-117.3985769
1559,The Phoenix Rising,Washington,Rainier,Thurston,,,,,,,46.9003999,-122.6580444
1560,The Well-Trained Mind Montessori,Washington,Renton,King,,,,,,,47.3965699,-122.114923
1561,Toledo Elementary,Washington,Toledo,Lewis,,,,,,,46.4388763,-122.8529402
1562,Upper Columbia Academy Elementary,Washington,Spangle,Spokane,,,,,,,47.412806,-117.367876
1563,Wade King Elementary,Washington,Bellingham,Whatcom,,,,,,,48.7176324,-122.4421745
1564,Warden Hutterian,Washington,Warden,Adams,,,,,,,47.0571645,-118.9497659
1565,Washington Elementary,Washington,Centralia,Lewis,,,,,,,46.7085366,-122.9537263
1566,Woodway Elementary,Washington,Edmonds,Snohomish,,,,,,,47.7820544,-122.3608468
1567,Yellow Wood Academy,Washington,Mercer Island,King,,,,,,,47.5766955,-122.2093933
