index,state,year,name,county,enroll,mmr,xmed,lat,lng
23,Montana,2017-18,Headwaters Academy,Gallatin,38,100,0,45.66684,-111.043351
24,Montana,2017-18,Hinsdale Schools Prek-12,Valley,71,100,0,48.3949594,-107.0867201
25,Montana,2017-18,Hysham Schools,Treasure,45,100,0,48.0580947,-106.0469106
26,Montana,2017-18,Intermountain Childrens Home,Lewis and Clark,37,100,0,46.6190248,-112.0227321
27,Montana,2017-18,Judith Gap Schools Prek-12,Wheatland,39,100,0,45.7705133,-108.6099095
28,Montana,2017-18,Kindergarten Readiness Center,Big Horn,59,100,0,45.5700984,-107.4324314
29,Montana,2017-18,Kinsey,Custer,56,100,3.571428571,46.57043,-105.65654
30,Montana,2017-18,Liberty Elementary,Liberty,20,100,0,48.700082,-111.199843
31,Montana,2017-18,Longfellow,Fallon,141,100,0,46.360456,-104.277847
32,Montana,2017-18,Martinsdale Colony,Meagher,38,100,0,46.5449644,-110.9037263
33,Montana,2017-18,Melstone Schools K-12,Musselshell,78,100,0,45.3950416,-110.6720402
34,Montana,2017-18,Miss Debbie's Preschool,Lake,20,100,0,47.6756907,-114.150019
35,Montana,2017-18,Mission Grade,Blaine,82,100,0,47.9753854,-108.6769312
36,Montana,2017-18,Morin,Yellowstone,45,100,0,45.637758,-108.401403
37,Montana,2017-18,Mountain View Elementary,Glacier,20,100,0,48.702875,-112.591387
38,Montana,2017-18,Mrs. Olson's Preschool House,Glacier,24,100,0,48.4400448,-113.2178514
39,Montana,2017-18,New Rockport Colony,Teton,37,100,0,47.8685542,-112.030096
40,Montana,2017-18,Newman,Yellowstone,226,100,0.4424778761,45.758707,-108.535074
41,Montana,2017-18,North Star,Hill,93,100,0,48.572104,-110.301379
42,Montana,2017-18,Northwest Montana Head Start,Flathead,192,100,0,48.2027171,-114.3031097
43,Montana,2017-18,Opheim Schools Prek-12,Valley,34,100,0,46.4400643,-109.830026
44,Montana,2017-18,Our Redemers Preschool,Lewis and Clark,33,100,0,46.6253309,-112.0431854
45,Montana,2017-18,Pioneer,Yellowstone,49,100,0,45.856444,-108.41517
46,Montana,2017-18,Pleasant Valley,Cascade,26,100,0,47.389417,-110.928014
47,Montana,2017-18,Plevna Schools K-12,Fallon,85,100,0,47.2126745,-109.4141
48,Montana,2017-18,Power Schools Prek-12,Teton,116,100,0,48.204173,-114.3205991
49,Montana,2017-18,Project For Alternative Learning,Lewis and Clark,62,100,0,46.5952399,-112.0359673
50,Montana,2017-18,Reichle,Beaverhead,22,100,0,45.461703,-112.706595
51,Montana,2017-18,Rosebud Schools Prek-12,Rosebud,31,100,0,47.3163882,-114.3145961
52,Montana,2017-18,Sourdough Montessori,Gallatin,46,100,0,45.8965651,-111.5488759
53,Montana,2017-18,St Paul Mission,Blaine,82,100,0,48.5855549,-109.0309988
54,Montana,2017-18,Superior Elementary,Mineral,165,100,0,47.186978,-114.878442
55,Montana,2017-18,Trinity Lutheran Preschool,Teton,36,100,0,48.5471,-111.341
56,Montana,2017-18,Trinity Lutheran,Custer,43,100,0,48.7916974,-105.415729
57,Montana,2017-18,Two Eagle River School K-12,Lake,120,100,0,48.5089066,-110.9650918
