index,state,year,name,type,city,county,mmr,xmed,xrel,lat,lng
563,Connecticut,2017-18,Assumption Catholic,Nonpublic,Fairfield,Fairfield,,,,41.1925089,-73.2270297
564,Connecticut,2017-18,Assumption-Ansonia,Nonpublic,Ansonia,New Haven,,,,41.3487233,-73.0796136
565,Connecticut,2017-18,Baptist Bible Academy,Nonpublic,Waterford,New London,,,,41.403787,-72.1814682
566,Connecticut,2017-18,Batchelder,Public,Hartford,Hartford,,,,41.732352,-72.707936
567,Connecticut,2017-18,Bess & Paul Sigel Hebrew Academy,Nonpublic,Bloomfield,Hartford,,,,41.827873,-72.74267
568,Connecticut,2017-18,Best Academy,Nonpublic,Wallingford,New Haven,,,,41.4758731,-72.8063079
569,Connecticut,2017-18,Blessed Sacrament,Nonpublic,Waterbury,New Haven,,,,41.5573483,-73.0636404
570,Connecticut,2017-18,Booth Free,Public,Roxbury,Litchfield,,,,41.55492,-73.307969
571,Connecticut,2017-18,Botelle Elementary,Public,Norfolk,Litchfield,,,,41.987391,-73.188298
572,Connecticut,2017-18,Bridgeport Hope,Nonpublic,Bridgeport,Fairfield,,,,41.167275,-73.188307
573,Connecticut,2017-18,Carmel Academy,Nonpublic,Greenwich,Fairfield,,,,41.0367894,-73.6359195
574,Connecticut,2017-18,Carver Academy,Nonpublic,Wallingford,New Haven,,,,41.49755,-72.751731
575,Connecticut,2017-18,Central Christian Academy,Nonpublic,Southington,Hartford,,,,41.62946,-72.899331
576,Connecticut,2017-18,Chaplin Elementary,Public,Chaplin,Windham,,,,41.78953,-72.147581
577,Connecticut,2017-18,Chase Collegiate,Nonpublic,Waterbury,New Haven,,,,41.5461422,-73.0663171
578,Connecticut,2017-18,Children's Community,Nonpublic,Waterbury,New Haven,,,,41.553598,-73.026676
579,Connecticut,2017-18,Christian Heritiage,Nonpublic,Trumbull,Fairfield,,,,41.2374844,-73.1839252
580,Connecticut,2017-18,Christian Life Academy,Nonpublic,Brookfield,Fairfield,,,,41.45422,-73.401701
581,Connecticut,2017-18,Cold Spring,Nonpublic,New Haven,New Haven,,,,41.30415,-72.902841
582,Connecticut,2017-18,Colebrook Consolidated,Public,Colebrook,Litchfield,,,,41.987908,-73.092243
583,Connecticut,2017-18,Convent Of The Sacred Heart,Nonpublic,Greenwich,Fairfield,,,,41.066244,-73.69439
584,Connecticut,2017-18,Cooperative Educational Services,Public,Trumbull,Fairfield,,,,41.2320259,-73.2004325
585,Connecticut,2017-18,Cornwall Consolidated,Public,Cornwall,Litchfield,,,,41.876761,-73.341507
586,Connecticut,2017-18,Crossway Christian Academy,Nonpublic,Putnam,Windham,,,,41.91581,-71.819151
587,Connecticut,2017-18,Ct Christian Academy,Nonpublic,Meriden,New Haven,,,,41.512302,-72.778878
588,Connecticut,2017-18,Daisy Ingraham,Public,Westbrook,Middlesex,,,,41.286454,-72.44198
589,Connecticut,2017-18,Deep River Elementary,Public,Deep River,Middlesex,,,,41.386206,-72.434582
590,Connecticut,2017-18,Diocese Of Bridgeport Schools Corp. D.B.A. St. James,Nonpublic,Stratford,Fairfield,,,,41.211863,-73.2172534
591,Connecticut,2017-18,Dunbar Hill,Public,Hamden,New Haven,,,,41.365513,-72.940227
592,Connecticut,2017-18,Eagle Hill,Nonpublic,Greenwich,Fairfield,,,,41.032465,-73.640254
593,Connecticut,2017-18,Eastford Elementary,Public,Eastford,Windham,,,,41.902927,-72.082045
594,Connecticut,2017-18,Easton Country Day,Nonpublic,Easton,Fairfield,,,,41.25003,-73.294851
595,Connecticut,2017-18,Elm City Montessori,Public,New Haven,New Haven,,,,41.30062,-72.889851
596,Connecticut,2017-18,Emmanuel Christian Academy,Nonpublic,Newington,Hartford,,,,41.6763504,-72.742773
597,Connecticut,2017-18,Enfield Montessori,Nonpublic,Enfield,Hartford,,,,41.9748286,-72.59211
598,Connecticut,2017-18,Ezra Academy,Nonpublic,Woodbridge,New Haven,,,,41.33849,-73.003231
599,Connecticut,2017-18,Fairfield Country Day,Nonpublic,Fairfield,Fairfield,,,,41.17273,-73.291311
600,Connecticut,2017-18,Faith Preparatory,Nonpublic,New Milford,Litchfield,,,,41.5034183,-73.4198446
601,Connecticut,2017-18,Farmington Valley Academy Montessori,Nonpublic,Avon,Hartford,,,,41.817956,-72.835865
602,Connecticut,2017-18,Fields Memorial,Public,Bozrah,New London,,,,41.563509,-72.153618
603,Connecticut,2017-18,Franklin Elementary,Public,Franklin,New London,,,,41.6311925,-72.1259564
604,Connecticut,2017-18,Goshen Center,Public,Goshen,Litchfield,,,,41.835023,-73.227183
605,Connecticut,2017-18,Greens Farms Academy,Nonpublic,Westport,Fairfield,,,,41.1186928,-73.3149754
606,Connecticut,2017-18,Greenwich Academy,Nonpublic,Greenwich,Fairfield,,,,41.04193,-73.627461
607,Connecticut,2017-18,Hamden Hall,Nonpublic,Hamden,New Haven,,,,41.3417113,-72.9139423
608,Connecticut,2017-18,Hampton Elementary,Public,Hampton,Windham,,,,41.792331,-72.05853
609,Connecticut,2017-18,Hartford Area S.D.A.,Nonpublic,Hartford,Hartford,,,,41.78257,-72.695801
610,Connecticut,2017-18,Hartland,Public,Hartland,Hartford,,,,41.9970158,-72.9068888
611,Connecticut,2017-18,Heritage Baptist Academy,Nonpublic,Wallingford,New Haven,,,,41.450593,-72.823585
612,Connecticut,2017-18,Hickory Street,Public,Norwich,New London,,,,41.5308341,-72.0608523
613,Connecticut,2017-18,High Road School Of New London Primary At Bennie Dover,Nonpublic,New London,New London,,,,41.3550913,-72.1029925
614,Connecticut,2017-18,High Road School Of Norwalk,Nonpublic,Norwalk,Fairfield,,,,41.1225604,-73.4114221
615,Connecticut,2017-18,Holy Trinity,Nonpublic,Wallingford,New Haven,,,,41.4552196,-72.8194516
616,Connecticut,2017-18,Hooker,Public,Bridgeport,Fairfield,,,,41.21678,-73.1696259
617,Connecticut,2017-18,Housatonic Valley,Nonpublic,Newtown,Fairfield,,,,41.379206,-73.355174
618,Connecticut,2017-18,Hudson Country Montessori,Nonpublic,Danbury,Fairfield,,,,41.3899094,-73.4300441
