index,state,year,name,type,city,county,enroll,mmr,xmed,xper,xrel,lat,lng
499,Utah,2017-18,Freedom Elementary,Public,Highland,Utah,1032,92.93,0,7.07,0,40.4200451,-111.820355
500,Utah,2017-18,Summit Academy- Draper Campus K-8,Public,Draper,Salt Lake,764,92.93,0,6.68,0,40.5123713,-111.8536919
501,Utah,2017-18,Oscarson Elementary,Public,Marysvale,Piute,28,92.86,0,7.14,0,38.4507908,-112.2331309
502,Utah,2017-18,Pinnacle Canyon Academy,Public,Price,Carbon,223,92.83,7.17,0,0,39.6032053,-110.7993882
503,Utah,2017-18,Three Falls Elementary,Public,Hurricane,Washington,706,92.78,0,7.08,0,37.1653663,-113.2996662
504,Utah,2017-18,Venture Academy,Public,Slaterville,Weber,291,92.78,0,7.22,0,41.2691117,-112.0172227
505,Utah,2017-18,Alpine Elementary,Public,Alpine,Utah,705,92.77,0.28,5.25,0,40.4564239,-111.7702778
506,Utah,2017-18,Midway Elementary,Public,Midway,Wasatch,581,92.77,0.17,3.96,0,40.5083299,-111.4694839
507,Utah,2017-18,Challenger School-10693 S,Private,Sandy,Salt Lake,262,92.75,0,7.25,0,40.5570663,-111.8618732
508,Utah,2017-18,Jordan Valley,Public,Midvale,Salt Lake,82,92.68,0,7.32,0,40.6149135,-111.8613659
509,Utah,2017-18,Enoch Elementary,Public,Cedar City,Iron,559,92.67,0.18,7.16,0,37.7633618,-113.0305184
510,Utah,2017-18,Loa Elementary,Public,Loa,Wayne,177,92.66,1.13,6.21,0,38.4010012,-111.641013
511,Utah,2017-18,Northridge Elementary,Public,Orem,Utah,733,92.63,0,7.37,0,40.32799,-111.694366
512,Utah,2017-18,George Washington Academy,Public,St. George,Washington,867,92.62,0.12,7.27,0,37.0697359,-113.5216975
513,Utah,2017-18,Cleveland Elementary,Public,Cleveland,Emery,135,92.59,0.74,5.93,0,39.3482405,-110.8544451
514,Utah,2017-18,Huntington Elementary,Public,Huntington,Emery,254,92.52,0,6.69,0,39.3280482,-110.9627896
515,Utah,2017-18,Entheos Academy-Kearns,Public,Salt Lake City,Salt Lake,370,92.43,0,7.57,0,40.640663,-112.002752
516,Utah,2017-18,Kanab Elementary,Public,Kanab,Kane,500,92.4,0,7.4,0,37.04943,-112.529092
517,Utah,2017-18,Arches Academy,Private,Orem,Utah,13,92.31,0,7.69,0,40.291738,-111.686567
518,Utah,2017-18,Cedar North Elementary,Public,Cedar City,Iron,607,92.26,0,7.74,0,37.681319,-113.0712865
519,Utah,2017-18,Westfield Elementary,Public,Alpine,Utah,696,92.24,0.29,6.03,0,40.4480162,-111.7905378
520,Utah,2017-18,Eaglecrest Elementary,Public,Lehi,Utah,1056,92.23,0,5.4,0,40.4225142,-111.8536407
521,Utah,2017-18,Excelsior Academy,Public,Tooele,Tooele,459,92.16,0.22,6.1,0,40.6011684,-112.3009529
522,Utah,2017-18,Odyssey Charter,Public,American Fork,Utah,457,92.12,0,7.88,0,40.3614976,-111.7795906
523,Utah,2017-18,Cascade Elementary,Public,Orem,Utah,742,92.05,0.4,5.53,0,40.299988,-111.675244
524,Utah,2017-18,Arrowhead Elementary,Public,Santa Clara,Washington,659,91.96,0,8.04,0,37.1186507,-113.6334832
