index,state,year,name,county,enroll,mmr,overall,xmed,xper,xrel,lat,lng
56,Vermont,2018-19,Rivendell Academy,New Hampshire,224,99.55357143,99.55357143,,,,43.899294,-72.1376509
57,Vermont,2018-19,Shaftsbury Elementary,Bennington,218,99.5412844,99.08256881,,,,42.944799,42.944799
58,Vermont,2018-19,Bellows Free Academy St. Albans,Franklin,847,99.52774498,98.22904368,,,,44.8080266,-73.0828117
59,Vermont,2018-19,White River,Windsor,178,99.43820225,99.43820225,,,,43.65341,43.65341
60,Vermont,2018-19,Saint Francis Xavier,Chittenden,159,99.37106918,96.85534591,,,,44.496484,-73.188518
61,Vermont,2018-19,Richford Elementary,Franklin,152,99.34210526,96.71052632,,,,44.9859909,-72.6802834
62,Vermont,2018-19,South Royalton Elementary,Windsor,146,99.31506849,99.31506849,,,,43.819316,-72.517403
63,Vermont,2018-19,Hartland Elementary,Windsor,282,99.29078014,98.22695035,,,,43.5379884,-72.3942648
64,Vermont,2018-19,Highgate Elementary,Franklin,281,99.28825623,98.22064057,,,,44.94117,-73.044022
65,Vermont,2018-19,Orwell Village,Addison,133,99.2481203,98.4962406,,,,43.80459,43.80459
66,Vermont,2018-19,Windsor Schools,Windsor,532,99.2481203,99.06015038,,,,43.4803126,-72.3944038
67,Vermont,2018-19,Proctor Elementary,Rutland,132,99.24242424,98.48484848,,,,43.6618191,-73.038619
68,Vermont,2018-19,Milton Elementary,Chittenden,652,99.23312883,98.6196319,,,,44.6324836,-73.1098197
69,Vermont,2018-19,Black River Union,Windsor,127,99.21259843,98.42519685,,,,43.4796344,-72.3863743
70,Vermont,2018-19,Molly Stark,Bennington,376,99.20212766,98.40425532,,,,42.898346,42.898346
71,Vermont,2018-19,Ferrisburgh Central,Addison,125,99.2,97.6,,,,44.206839,44.206839
72,Vermont,2018-19,Chamberlin,Chittenden,249,99.19678715,96.78714859,,,,44.471464,44.471464
73,Vermont,2018-19,Blue Mountain Union,Orange,371,99.19137466,97.30458221,,,,44.1553744,-72.0833144
74,Vermont,2018-19,Bakersfield,Franklin,123,99.18699187,96.74796748,,,,44.78436,44.78436
75,Vermont,2018-19,Franklin Elementary,Franklin,114,99.12280702,99.12280702,,,,44.9842389,-72.9201647
76,Vermont,2018-19,Brewster Pierce Elementary,Chittenden,107,99.06542056,98.13084112,,,,44.2958862,-72.9635912
77,Vermont,2018-19,Millers Run Union,Caledonia,105,99.04761905,97.14285714,,,,44.6026961,-72.1192335
78,Vermont,2018-19,Fair Haven Grade,Rutland,314,99.04458599,96.17834395,,,,43.594891,43.594891
79,Vermont,2018-19,Newport City Elementary,Orleans,309,99.02912621,98.70550162,,,,44.9449812,-72.1921709
80,Vermont,2018-19,Mater Christi,Chittenden,202,99.00990099,97.52475248,,,,44.4822743,-73.1983709
81,Vermont,2018-19,Vermont Academy,Windham,199,98.99497487,97.48743719,,,,43.141708,-72.508514
82,Vermont,2018-19,Lyndon Institute,Caledonia,495,98.98989899,95.55555556,,,,44.5384146,-72.0153659
83,Vermont,2018-19,Marion W. Cross,Windsor,283,98.93992933,97.52650177,,,,43.713337,43.713337
84,Vermont,2018-19,Sutton Village,Caledonia,93,98.92473118,97.84946237,,,,44.63361,44.63361
85,Vermont,2018-19,Peoples Academy,Lamoille,265,98.86792453,96.98113208,,,,44.562781,44.562781
86,Vermont,2018-19,Killington Mountain,Rutland,86,98.8372093,98.8372093,,,,43.636784,-72.790634
