index,state,year,name,address,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
613,North Carolina,2018-19,Our Lady Perpetual Help Cath Sch,,,Nash,,8,,100,0,,0,35.9390321,-77.8011212
614,North Carolina,2018-19,Outreach Christian Academy,,,Richmond,,3,,100,0,,0,34.87649,-79.741921
615,North Carolina,2018-19,Oxendine Elementary,,,Robeson,,44,,100,0,,0,34.805807,-79.25841
616,North Carolina,2018-19,Oxford Elementary,,,Catawba,,88,,100,0,,1.1,35.77327,-81.156322
617,North Carolina,2018-19,Pactolus,,,Pitt,,39,,100,0,,0,35.6224767,-77.2233796
618,North Carolina,2018-19,Palisades Episcopal,,,Mecklenburg,,27,,100,0,,7.4,35.0706,-81.043691
619,North Carolina,2018-19,Pamlico County Primary,,,Pamlico,,107,,100,0.9,,0,35.1379735,-76.7822563
620,North Carolina,2018-19,Park Ridge Christian,,,Stanly,,28,,100,0,,0,35.369949,-80.1906149
621,North Carolina,2018-19,Park Road Montessori,,,Mecklenburg,,71,,100,0,,2.8,35.17753,-80.848753
622,North Carolina,2018-19,Parkview Village Elementary Expressive Arts Magnet,,,Guilford,,58,,100,0,,0,35.969527,-79.982863
623,North Carolina,2018-19,Pasquotank Elementary,,,Pasquotank,,35,,100,0,,0,36.283666,-76.224768
624,North Carolina,2018-19,Pathway Christian Academy,,,Wayne,,4,,100,0,,0,35.3628689,-78.0091015
625,North Carolina,2018-19,Patriots Elementary,,,Cabarrus,,160,,100,0,,1.3,35.309739,-80.584333
626,North Carolina,2018-19,Paw Creek Christian Academy,,,Mecklenburg,,3,,100,0,,33.3,35.24848,-80.912231
627,North Carolina,2018-19,Peace Montessori,,,Wake,,4,,100,0,,0,35.75695,-78.833901
628,North Carolina,2018-19,Peace Rose Montessori,,,New Hanover,,10,,100,0,,20,34.22569,-77.903011
629,North Carolina,2018-19,Peachland Polkton Elementary,,,Anson,,82,,100,1.2,,0,34.9952448,-80.2303418
630,North Carolina,2018-19,Peachtree Elementary,,,Cherokee,,23,,100,0,,0,35.091345,-83.945572
631,North Carolina,2018-19,Pearsontown Elementary,,,Durham,,140,,100,0,,0,35.932293,-78.908595
632,North Carolina,2018-19,Pembroke Elementary,,,Robeson,,115,,100,0,,0,34.678056,-79.194378
633,North Carolina,2018-19,Penderlea Elementary,,,Pender,,52,,100,0,,1.9,34.655713,-78.047146
634,North Carolina,2018-19,Petree Elementary,,,Forsyth,,73,,100,0,,0,36.113217,-80.191437
635,North Carolina,2018-19,Phoenix Academy Inc,,,Guilford,,103,,100,0,,1,36.0463806,-79.9601276
636,North Carolina,2018-19,Phoenix Montessori Academy,,,Mecklenburg,,9,,100,0,,0,35.391398,-80.853005
637,North Carolina,2018-19,Piedmont,,,Guilford,,0,,100,0,,0,36.0273254,-80.0103914
638,North Carolina,2018-19,Pilot Mountain Elementary,,,Surry,,59,,100,0,,0,36.4012715,-80.4721058
639,North Carolina,2018-19,Pine Hall  Elementary,,,Stokes,,24,,100,0,,0,36.329107,-80.048178
640,North Carolina,2018-19,Pine Ridge Mennonite,,,Rutherford,,3,,100,0,,0,35.45657,-82.035681
641,North Carolina,2018-19,Pine Springs Preparatory Academy: CFA,,,Wake,,94,,100,0,,3.2,35.6781928,-78.8369844
642,North Carolina,2018-19,Pinebrook Elementary,,,Davie,,83,,100,0,,3.6,35.9707605,-80.5167026
643,North Carolina,2018-19,Pinehurst Elementary,,,Moore,,97,,100,0,,1,35.2001875,-79.4630054
644,North Carolina,2018-19,Pinnacle Classical Academy,,,Cleveland,,112,,100,0,,1.8,35.260451,-81.503454
645,North Carolina,2018-19,Pinnacle Elementary,,,Stokes,,30,,100,0,,0,36.328307,-80.436912
646,North Carolina,2018-19,Pinnacle Elementary,,,Rutherford,,50,,100,0,,2,35.465761,-82.007507
647,North Carolina,2018-19,Pioneer Springs Community,,,Mecklenburg,,44,,100,0,,15.9,35.34828,-80.822591
648,North Carolina,2018-19,Pisgah Forest Elementary,,,Transylvania,,75,,100,0,,0,35.256275,-82.703974
