index,state,year,name,city,county,district,enrollment,overall,xmed,xrel,lat,lng
278,Idaho,2018-19,Hagerman Elementary,Hagerman,Gooding,Hagerman,19,84.21052632,0,15.78947368,42.8179471,-114.8994759
279,Idaho,2018-19,White Pine Elementary School - Burley,Burley,Cassia,Cassia,69,84.05797101,0,8.695652174,42.5285631,-113.7845183
280,Idaho,2018-19,Seven Oaks Elementary,Eagle,Ada,West Ada,50,84,0,10,43.7087818,-116.3253451
281,Idaho,2018-19,Hillsdale Elementary,Meridian,Ada,West Ada,118,83.89830508,0,11.86440678,43.5574559,-116.3460624
282,Idaho,2018-19,Christine Donnell School Of The Arts,Boise,Ada,West Ada,68,83.82352941,0,14.70588235,43.5386301,-116.3154438
283,Idaho,2018-19,Ashton Elementary,Ashton,Fremont,Fremont,37,83.78378378,0,0,44.0702719,-111.4548932
284,Idaho,2018-19,Washington Elementary School - Boise,Boise,Ada,Boise,37,83.78378378,0,8.108108108,43.6323129,-116.2061999
285,Idaho,2018-19,Homedale Elementary,Homedale,Owyhee,Homedale,80,83.75,1.25,11.25,43.6206865,-116.9416562
286,Idaho,2018-19,Acequia Elementary,Rupert,Minidoka,Minidoka,42,83.33333333,0,11.9047619,42.6725453,-113.597832
287,Idaho,2018-19,Bruneau Elementary,Bruneau,Owyhee,Bruneau-Grand View,6,83.33333333,0,0,42.8832292,-115.8042528
288,Idaho,2018-19,Dworshak Elementary,Burley,Cassia,Cassia,54,83.33333333,7.407407407,0,42.5288665,-113.7925688
289,Idaho,2018-19,Endeavor Elementary,Nampa,Canyon,Nampa,90,83.33333333,0,4.444444444,43.5772665,-116.5353119
290,Idaho,2018-19,Foothills School Of Arts And Sciences,Boise,Ada,Private,18,83.33333333,0,5.555555556,43.6125708,-116.2086377
291,Idaho,2018-19,Hamer Elementary,Hamer,Jefferson,West Jefferson,6,83.33333333,0,16.66666667,43.9254159,-112.2086514
292,Idaho,2018-19,Lake City Jr Academy,Coeur D'alene,Kootenai,Private,18,83.33333333,0,11.11111111,47.6937347,-116.7844623
293,Idaho,2018-19,Montessori Academy,Eagle,Ada,Private,24,83.33333333,0,16.66666667,43.707428,-116.4027685
294,Idaho,2018-19,Rockland,Rockland,Power,Rockland,6,83.33333333,0,16.66666667,42.5742578,-112.873165
295,Idaho,2018-19,North Star Public Charter,Eagle,Ada,Charter,83,83.13253012,0,15.6626506,43.7002025,-116.4151257
296,Idaho,2018-19,Owyhee Elementary School - Nampa,Nampa,Canyon,Nampa,53,83.01886792,0,11.32075472,43.5551809,-116.6087769
297,Idaho,2018-19,Indian Creek Elementary,Kuna,Ada,Kuna,76,82.89473684,0,11.84210526,43.4916935,-116.4257671
298,Idaho,2018-19,Barbara R. Morgan Elementary,Mccall,Valley,Mccall-Donnelly,70,82.85714286,0,12.85714286,44.8986463,-116.0797993
299,Idaho,2018-19,Bickel Elementary,Twin Falls,Twin Falls,Twin Falls,35,82.85714286,0,2.857142857,42.5521144,-114.4623566
300,Idaho,2018-19,Farmin-Stidwell Elementary,Sandpoint,Bonner,Lake Pend Oreille,64,82.8125,0,15.625,48.2828018,-116.5717624
301,Idaho,2018-19,Park Ridge Elementary,Nampa,Canyon,Nampa,29,82.75862069,0,17.24137931,43.5698242,-116.5304584
302,Idaho,2018-19,A.J. Winters Elementary,Montpelier,Bear Lake,Bear Lake,46,82.60869565,0,2.173913043,42.3207537,-111.3018291
303,Idaho,2018-19,Highlands Elementary,Boise,Ada,Boise,23,82.60869565,0,13.04347826,43.6502541,-116.1949145
304,Idaho,2018-19,Roosevelt Elementary School - Boise,Boise,Ada,Boise,40,82.5,0,2.5,43.609707,-116.1828691
305,Idaho,2018-19,Sacred Heart,Boise,Ada,Private,17,82.35294118,0,17.64705882,43.5960311,-116.230152
306,Idaho,2018-19,Shoshone Elementary,Shoshone,Lincoln,Shoshone,34,82.35294118,0,5.882352941,42.9284179,-114.4022921
307,Idaho,2018-19,Taft Elementary,Boise,Ada,Boise,34,82.35294118,0,0,43.6418743,-116.2358316
308,Idaho,2018-19,Wendell Elementary,Wendell,Gooding,Wendell,85,82.35294118,0,1.176470588,42.7780156,-114.7025546
309,Idaho,2018-19,Midway Elementary,Menan,Jefferson,Jefferson,62,82.25806452,0,16.12903226,43.7178441,-112.0043207
310,Idaho,2018-19,Birch Elementary,Nampa,Canyon,Vallivue,112,82.14285714,0.8928571429,16.96428571,43.613248,-116.53131
311,Idaho,2018-19,Kennedy Elementary,Rexburg,Madison,Madison,84,82.14285714,0,8.333333333,43.82468,-111.798844
312,Idaho,2018-19,Central Elementary School-Nampa,Nampa,Canyon,Nampa,61,81.96721311,0,8.196721311,43.5737594,-116.5613984
313,Idaho,2018-19,Ronald Reagan Elementary,Nampa,Canyon,Nampa,72,81.94444444,0,8.333333333,43.5364331,-116.5313438
314,Idaho,2018-19,Moscow Charter,Moscow,Latah,Charter,22,81.81818182,4.545454545,0,46.740163,-116.978069
315,Idaho,2018-19,Spirit Lake Elementary,Rathdrum,Kootenai,Lakeland,44,81.81818182,0,9.090909091,47.9697049,-116.8694807
316,Idaho,2018-19,Moreland Elementary,Blackfoot,Bingham,Snake River,115,81.73913043,0,1.739130435,43.1866968,-112.3426616
