index,state,year,name,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
136,Florida,2018-19,Edgar L. Padgett Elementary,Polk,106,,99.06,0,,0.9433962264,28.122003,-81.954873
137,Florida,2018-19,Sunridge Elementary,Orange,106,,99.06,0,,0,28.537283,-81.601483
138,Florida,2018-19,Eugenia B. Thomas K-8 Center,Dade,105,,99.05,0,,0.9523809524,25.827698,-80.382543
139,Florida,2018-19,Hamilton County Elementary,Hamilton,103,,99.03,0,,0,30.47986,-82.935318
140,Florida,2018-19,Oceanway Elementary,Duval,102,,99.02,0,,0,30.4675,-81.631225
141,Florida,2018-19,Trinity Elementary,Pasco,101,,99.01,0,,0.9900990099,28.191774,-82.638823
142,Florida,2018-19,Renaissance Charter School At Poinciana,Osceola,100,,99,0,,0,28.25253,-81.48968
143,Florida,2018-19,George W. Munroe Elementary,Gadsden,99,,98.99,0,,0,30.591774,-84.601383
144,Florida,2018-19,Imater Academy,Dade,99,,98.99,0,,0,25.8393,-80.294157
145,Florida,2018-19,Watergrass Elementary,Pasco,99,,98.99,0,,1.01010101,28.265001,-82.27468
146,Florida,2018-19,Gove Elementary,Palm Beach,97,,98.97,0,,0,26.676841,-80.659216
147,Florida,2018-19,Florida State University,Fsu Lab Sch,96,,98.96,1.041666667,,0,30.385226,-84.223896
148,Florida,2018-19,Lockmar Elementary,Brevard,94,,98.94,0,,0,28.025866,-80.658798
149,Florida,2018-19,Shalimar Elementary,Okaloosa,94,,98.94,0,,0,30.449626,-86.574921
150,Florida,2018-19,Greenway Elementary,Marion,93,,98.92,0,,0,29.120834,-82.016013
151,Florida,2018-19,Central Elementary,Hendry,92,,98.91,0,,0,26.74548,-80.931152
152,Florida,2018-19,Franklin Park Elementary,Lee,92,,98.91,0,,0,26.63595,-81.847359
153,Florida,2018-19,Samoset Elementary,Manatee,92,,98.91,0,,0,27.470058,-82.542278
154,Florida,2018-19,Pineapple Cove Classical Academy,Brevard,90,,98.89,0,,1.111111111,28.0374109,-80.6626901
155,Florida,2018-19,Clay Charter Academy,Clay,89,,98.88,0,,1.123595506,30.123433,-81.859772
156,Florida,2018-19,Manatee Elementary,Collier,89,,98.88,0,,1.123595506,26.045301,-81.679086
157,Florida,2018-19,Plantation Elementary,Broward,89,,98.88,0,,1.123595506,26.131003,-80.205308
158,Florida,2018-19,Somerset Academy Charter Elementary School (South Homestead),Dade,89,,98.88,1.123595506,,0,25.467354,-80.47501
159,Florida,2018-19,Melrose Park Elementary,Columbia,88,,98.86,0,,0,30.185715,-82.624844
160,Florida,2018-19,Arcola Lake Elementary,Dade,87,,98.85,0,,0,25.84943,-80.214566
161,Florida,2018-19,Egypt Lake Elementary,Hillsborough,86,,98.84,0,,0,28.007653,-82.49827
162,Florida,2018-19,Highlands Elementary,Collier,86,,98.84,0,,0,26.432395,-81.429001
