index,state,year,name,city,mmr,overall,xmed,xper,xrel,lat,lng
27,Missouri,2018-19,Lutheran High Sch South,St. Louis,99,,,,,38.5480384,-90.334131
28,Missouri,2018-19,Mary Institute/Country Day,St. Louis,99,,,,,38.658241,-90.397447
29,Missouri,2018-19,Mary Queen Of Peace Sch,St. Louis,99,,,,,38.5839414,-90.376086
30,Missouri,2018-19,Most Sacred Heart,Eureka,99,,,,,38.5048579,-90.6209274
31,Missouri,2018-19,Our Lady Of Guadalupe Sch,St Louis,99,,,,,38.7302312,-90.3024237
32,Missouri,2018-19,Our Lady Of Hope,Kansas City,99,,,,,39.050726,-94.602215
33,Missouri,2018-19,Our Lady Of Lourdes Sch,Washington,99,,,,,38.5465669,-91.0019875
34,Missouri,2018-19,Our Lady Of Lourdes Sch,University City,99,,,,,38.6470981,-90.3204586
35,Missouri,2018-19,Our Lady,Festus,99,,,,,38.2267589,-90.4189248
36,Missouri,2018-19,Pembroke Hill,Kansas City,99,,,,,39.0348903,-94.6090275
37,Missouri,2018-19,Queen Of All Saints Sch,St. Louis,99,,,,,38.4438294,-90.3087437
38,Missouri,2018-19,Rossman,Saint Louis,99,,,,,38.645038,-90.463531
39,Missouri,2018-19,Sacred Heart Schl-Poplar Bluff,Poplar Bluff,99,,,,,36.7577185,-90.4003036
40,Missouri,2018-19,Sacred Heart Schl-Valley Park,Valley Park,99,,,,,38.5525466,-90.4923059
41,Missouri,2018-19,Saint Louis Priory,St. Louis,99,,,,,38.6445683,-90.4774738
42,Missouri,2018-19,Springfield Catholic School System,Springfield,99,,,,,37.1700913,-93.2227015
43,Missouri,2018-19,St Andrew,Tipton,99,,,,,38.653565,-92.779825
44,Missouri,2018-19,St Bridget's,Pacific,99,,,,,38.4835409,-90.7435123
45,Missouri,2018-19,St Catherine Laboure Sch,St. Louis,99,,,,,38.526711,-90.378744
46,Missouri,2018-19,St Charles Borromeo Sch,St Charles,99,,,,,38.787363,-90.483139
47,Missouri,2018-19,St Clement Of Rome,St. Louis,99,,,,,38.6089422,-90.4340666
48,Missouri,2018-19,St Elizabeths,Kansas City,99,,,,,38.9924533,-94.5902624
49,Missouri,2018-19,St Francis Borgia Schools,Washington,99,,,,,38.5603705,-91.0152606
50,Missouri,2018-19,St Francis Of Assisi Sch,St. Louis,99,,,,,38.4794109,-90.3037261
51,Missouri,2018-19,St Gabriel,St Louis,99,,,,,38.5881272,-90.2989142
52,Missouri,2018-19,St George Schools,Hermann,99,,,,,38.7045813,-91.4398059
53,Missouri,2018-19,St Gerard Majella,Kirkwood,99,,,,,38.5855949,-90.442867
54,Missouri,2018-19,St Gregorys,Maryville,99,,,,,40.343418,-94.8658739
55,Missouri,2018-19,St James,St Joseph,99,,,,,39.7158425,-94.8625771
56,Missouri,2018-19,St Joachim & St Ann Sch,St Charles,99,,,,,38.7368221,-90.3948682
57,Missouri,2018-19,St John Regis,Kansas City,99,,,,,38.9611107,-94.4930945
58,Missouri,2018-19,St John The Baptist,Villa Ridge,99,,,,,38.484059,-90.939932
59,Missouri,2018-19,St Joseph,St. Charles,99,,,,,38.7422891,-90.652279
60,Missouri,2018-19,St Joseph,Farmington,99,,,,,37.779469,-90.415224
61,Missouri,2018-19,St Joseph,Manchester,99,,,,,38.5875709,-90.518172
62,Missouri,2018-19,St Joseph's Academy,St. Louis,99,,,,,38.624922,-90.407936
63,Missouri,2018-19,St Joseph's,Salisbury,99,,,,,39.4253868,-92.8064118
64,Missouri,2018-19,St Marys,Cape Girardeau,99,,,,,37.300574,-89.5273699
65,Missouri,2018-19,St Marys,Glasgow,99,,,,,39.2253742,-92.8452905
66,Missouri,2018-19,St Patrick,Wentzville,99,,,,,38.80747,-90.855151
67,Missouri,2018-19,St Paul,Fenton,99,,,,,38.5161975,-90.4475158
68,Missouri,2018-19,St Peters Grade,St. Louis,99,,,,,38.7924877,-90.6222007
69,Missouri,2018-19,St Peters,Marshall,99,,,,,39.1181379,-93.2007986
70,Missouri,2018-19,St Pius X,Berly,99,,,,,39.4177048,-92.438399
71,Missouri,2018-19,St Simon,St. Louis,99,,,,,38.5242465,-90.3469843
72,Missouri,2018-19,St Teresa's Academy,Kansas City,99,,,,,39.02586,-94.588971
73,Missouri,2018-19,St Theodore,Wentzville,99,,,,,38.85506,-90.864191
74,Missouri,2018-19,St. Mark,Saint Louis,99,,,,,38.534533,-90.305597
75,Missouri,2018-19,St.Joseph,Westphalia,99,,,,,38.4406234,-91.9967866
76,Missouri,2018-19,Ste Genevieve Du Bois Sch,St Louis,99,,,,,38.6104784,-90.3970947
77,Missouri,2018-19,Torah Prep,St Louis,99,,,,,38.660005,-90.337905
78,Missouri,2018-19,Trinity Lutheran,Jefferson City,99,,,,,38.566213,-92.186724
79,Missouri,2018-19,Villa Duchesne,St Louis,99,,,,,38.6439676,-90.4174519
80,Missouri,2018-19,Visitation Academy,St. Louis,99,,,,,38.6367193,-90.4417857
81,Missouri,2018-19,De Smet Jesuit High Sch,St Louis,98.9,,,,,38.6612003,-90.4456268
82,Missouri,2018-19,Hawthorn Leadership Schl Girls,St. Louis,98.9,,,,,38.6660596,-90.2599647
83,Missouri,2018-19,Immaculate Conception,Jefferson City,98.9,,,,,38.5651,-92.158691
