index,state,year,name,type,city,county,enroll,mmr,overal,xmed,xper,xrel,lat,lng
3489,New York,2017-18,School For Young Performers,Private,New York,New York,,57.1,57.1,0,,42.86,40.71101,-74.008761
3490,New York,2017-18,Windy Hill,Private,Canandaigua,Ontario,,57.1,48.6,2.86,,37.14,42.8834632,-77.2103646
3491,New York,2017-18,Peconic Community,Private,Riverhead,Suffolk,,55.8,53.5,2.33,,39.53,40.9175696,-72.6595113
3492,New York,2017-18,Ambleside School Of The Airdondacks,Private,Queensbury,Warren,,55.6,55.6,0,,33.33,43.327702,-73.686915
3493,New York,2017-18,Church Of God Christian Academy,Private,Far Rockaway,Queens,,55.6,51.1,0,,40,40.606866,-73.750181
3494,New York,2017-18,Congregation Noam E Lisenk,Private,Nanuet,Rockland,,55.5,40,0,,0.91,41.1040459,-74.038667
3495,New York,2017-18,Hickory Knoll School - Mill Creek Center,Private,Watkins Glen,Schuyler,,54.5,54.5,0,,45.45,42.3763469,-76.8652174
3496,New York,2017-18,Hidden Valley,Private,Mayville,Chautauqua,,53.3,46.7,0,,33.33,42.2559327,-79.5048192
3497,New York,2017-18,Scenic Valley,Private,Penn Yan,Yates,,53.3,53.3,0,,46.67,42.52007365,-77.02194226
3498,New York,2017-18,Stony Ridge,Private,Penn Yan,Yates,,52.4,38.1,0,,47.62,42.680032,-77.099542
3499,New York,2017-18,Brookside Alexander Road,Private,Penn Yan,Yates,,52.2,43.5,0,,43.48,42.6643912,-77.0585158
3500,New York,2017-18,Holy Name Of Jesus Academy,Private,Massena,St. Lawrence,,51.5,33.3,0,,65.15,44.9558254,-74.8038551
3501,New York,2017-18,Young Achievers Learning Experience,Private,Hempstead,Nassau,,51.5,48.5,0,,3.03,40.7052989,-73.6369261
3502,New York,2017-18,Congregation Mesifta Ohr Hatalmud,Private,New Windsor,Orange,,51.4,51.4,0,,0,41.4571998,-74.0463526
3503,New York,2017-18,Gravel Ridge,Private,Lyons,Wayne,,51.1,46.8,0,,48.94,43.047784,-77.0177054
