index,state,year,name,type,city,enroll,mmr,lat,lng
388,Pennsylvania,2017,St Marys Catholic Elem,,Saint Marys,38,100,41.4203289,-78.5492018
389,Pennsylvania,2017,St Marys Interparochial,,Philadelphia,31,100,39.9460777,-75.1496584
390,Pennsylvania,2017,St Maximilian Kolbe,,West Chester,26,100,39.9293249,-75.5826079
391,Pennsylvania,2017,St Michael The Archangel Lwr,,Coopersburg,30,100,40.514014,-75.4458525
392,Pennsylvania,2017,St Monica,,Philadelphia,66,100,39.9212467,-75.1760469
393,Pennsylvania,2017,St Norbert,,Paoli,25,100,40.0374047,-75.472416
394,Pennsylvania,2017,St Patrick,,Malvern,40,100,40.0353839,-75.5117923
395,Pennsylvania,2017,St Patrick,,Carlisle,27,100,40.174623,-77.203321
396,Pennsylvania,2017,St Patrick,,Canonsburg,40,100,40.2572197,-80.1942323
397,Pennsylvania,2017,St Paul St Clare School St Clare Campus,,Scranton,32,100,41.4334705,-75.6390385
398,Pennsylvania,2017,St Peter The Apostle,,Philadelphia,28,100,39.9695282,-75.1449339
399,Pennsylvania,2017,St Philip Neri,,Lafayette Hill,60,100,40.08935,-75.2587528
400,Pennsylvania,2017,St Pius X,,Broomall,43,100,39.9714532,-75.3447865
401,Pennsylvania,2017,St Raymond,,Philadelphia,28,100,40.0720334,-75.1663262
402,Pennsylvania,2017,St Therese,,Munhall,26,100,40.3879562,-79.9010662
403,Pennsylvania,2017,St Thomas Apostle,,Glen Mills,29,100,39.889363,-75.474344
404,Pennsylvania,2017,St Thomas More,,Pittsburgh,35,100,40.3423613,-80.0513094
405,Pennsylvania,2017,St Thomas More,,Allentown,67,100,40.575181,-75.5137011
406,Pennsylvania,2017,St Veronica,,Philadelphia,24,100,40.0048903,-75.1391712
407,Pennsylvania,2017,Steelton-Highspire Elementary,,Steelton,89,100,40.2375591,-76.8295626
408,Pennsylvania,2017,Stevens Elementary,,Chambersburg,49,100,39.9266884,-77.6687499
409,Pennsylvania,2017,Stevens Primary,,Williamsport,60,100,41.2464335,-77.0287472
410,Pennsylvania,2017,Streams Elementary,,Pittsburgh,77,100,40.322414,-80.09354
411,Pennsylvania,2017,Strodes Mills Elementary,,Mc Veytown,57,100,40.5461343,-77.6711682
412,Pennsylvania,2017,Sts Colman-John Neumann,,Bryn Mawr,27,100,40.0035595,-75.3380357
413,Pennsylvania,2017,Sunset Valley Elementary,,North Huntingdon,73,100,40.305288,-79.7424861
414,Pennsylvania,2017,Sylvan Heights Science Cs,,Harrisburg,44,100,40.2530382,-76.8636766
415,Pennsylvania,2017,Taylor Bayard,,Philadelphia,98,100,40.0069509,-75.1383024
416,Pennsylvania,2017,The Philadelphia Cs For Arts And Sciences At Hr Edmunds,,Philadelphia,114,100,40.0249579,-75.0867468
417,Pennsylvania,2017,Third Avenue Elementary,,Kingston,33,100,41.2566627,-75.8862768
418,Pennsylvania,2017,Thomas Jefferson Elementary,,Bethlehem,37,100,40.622945,-75.3684902
