index,state,year,name,city,county,district,enroll,mmr,overall,xmed,xper,xrel,lat,lng
64,North Dakota,2017-18,St Alphonsus,Langdon,Cavalier,,9.00,100.00,,0,0,0,48.76231,-98.367231
65,North Dakota,2017-18,St Johns Elementary,Wahpeton,Richland,,15.00,100.00,,0,0,0,46.2643868,-96.6038102
66,North Dakota,2017-18,St Joseph Elementary,Mandan,Morton,,10.00,100.00,,0,0,0,46.8304224,-100.8924628
67,North Dakota,2017-18,St Joseph,Devils Lake,Ramsey,,24.00,100.00,,0,0,0,48.1166129,-98.8530798
68,North Dakota,2017-18,Standing Rock Community,Fort Yates,Sioux,,56.00,100.00,,0,0,0,46.093572,-100.679179
69,North Dakota,2017-18,Sunnyside Elementary,Minot,Ward,,49.00,100.00,,0,2.040816327,0,48.231186,-101.277623
70,North Dakota,2017-18,Sweet Briar,Mandan,Morton,,6.00,100.00,,0,0,0,46.825387,-101.154584
71,North Dakota,2017-18,Tappen Elementary,Tappen,Kidder,,6.00,100.00,,0,0,0,46.876877,-99.633438
72,North Dakota,2017-18,Tate Topa Tribal,Fort Totten,Benson,,72.00,100.00,,0,0,0,47.97479,-99.025272
73,North Dakota,2017-18,Tgu Granville Elementary,Granville,McHenry,,12.00,100.00,,0,0,0,48.263359,-100.844249
74,North Dakota,2017-18,Trinity Elementary East,Dickinson,Stark,,12.00,100.00,,0,0,0,46.88223,-102.778021
75,North Dakota,2017-18,Turtle Mountain Community Elementary,Belcourt,Rolette,,107.00,100.00,,0,0,0,48.841004,-99.742964
76,North Dakota,2017-18,Underwood Elementary,Underwood,McLean,,14.00,100.00,,0,0,0,47.456701,-101.143081
77,North Dakota,2017-18,Washington Elementary,Jamestown,Stutsman,,20.00,100.00,,0,0,0,46.915332,-98.71323
78,North Dakota,2017-18,Winship Elementary,Grand Forks,Grand Forks,,30.00,100.00,,0,0,0,47.92474,-97.047373
79,North Dakota,2017-18,Wishek Elementary,Wishek,McIntosh,,20.00,100.00,,0,0,0,46.256449,-99.549879
80,North Dakota,2017-18,Wyndmere Elementary,Wyndmere,Richland,,23.00,100.00,,0,0,0,46.263271,-97.127622
81,North Dakota,2017-18,Minnie H Kindergarten Center,Devils Lake,Ramsey,,140.00,99.29,,0,0.7142857143,0,48.107628,-98.864589
82,North Dakota,2017-18,Independence Elementary,Fargo,Cass,,99.00,98.99,,0,0,1.01010101,46.820956,-96.874089
83,North Dakota,2017-18,Centennial Elementary,Fargo,Cass,,92.00,98.91,,0,2.173913043,0,46.816129,-96.821414
84,North Dakota,2017-18,Watford City Elementary,Watford City,McKenzie,,156.00,98.72,,0,2.564102564,3.846153846,47.798338,-103.27842
85,North Dakota,2017-18,Discovery Elementary,Grand Forks,Grand Forks,,77.00,98.70,,0,1.298701299,0,47.880039,-97.074811
86,North Dakota,2017-18,Brooks Harborelementary,West Fargo,Cass,,65.00,98.46,,0,1.538461538,0,46.844779,-96.913469
87,North Dakota,2017-18,South Elementary,West Fargo,Cass,,63.00,98.41,,0,1.587301587,0,46.87022,-96.900802
88,North Dakota,2017-18,L E Berger Elementary,West Fargo,Cass,,59.00,98.31,,1.694915254,0,0,46.871625,-96.88756
89,North Dakota,2017-18,Washington Elementary,Fargo,Cass,,58.00,98.28,,0,1.724137931,0,46.902122,-96.786727
90,North Dakota,2017-18,Beulah Elementary,Beulah,Mercer,,54.00,98.15,,0,3.703703704,0,47.270967,-101.780266
91,North Dakota,2017-18,Northern Cass Elementary,Hunter,Cass,,47.00,97.87,,0,0,0,47.153693,-97.109165
92,North Dakota,2017-18,Ben Franklin Elementary,Grand Forks,Grand Forks,,46.00,97.83,,0,0,2.173913043,47.912035,-97.056294
93,North Dakota,2017-18,Mary Stark Elementary,Mandan,Morton,,45.00,97.78,,0,0,0,46.820645,-100.902306
94,North Dakota,2017-18,Aurora Elementary,West Fargo,Cass,,88.00,97.73,,0,4.545454545,0,46.828877,-96.915973
95,North Dakota,2017-18,Central Cass Elementary,Casselton,Cass,,87.00,97.70,,0,2.298850575,0,46.905918,-97.208646
96,North Dakota,2017-18,St Johns,Saint John,Rolette,,43.00,97.67,,2.325581395,0,0,48.9404457,-99.7111299
97,North Dakota,2017-18,Bennett Elementary,Fargo,Cass,,85.00,97.65,,0,1.176470588,0,46.794647,-96.811224
98,North Dakota,2017-18,Lincoln Elementary,Jamestown,Stutsman,,42.00,97.62,,0,0,2.380952381,46.913236,-98.704721
99,North Dakota,2017-18,Carrington Elementary,Carrington,Foster,,40.00,97.50,,0,2.5,0,47.452067,-99.124425
100,North Dakota,2017-18,Nathan Twining Elementary,Grand Forks AFB,Grand Forks,,40.00,97.50,,0,0,2.5,47.965035,-97.367762
101,North Dakota,2017-18,Osgood Kindergarten Center,Fargo,Cass,,116.00,97.41,,0,2.586206897,0.8620689655,46.813127,-96.880742
